Nombre de la carrera,area,Duracion
Enfermeria y Obstetricia,C. de la Salud,8 Semestres
Ingenieria Civil,Mecanica- Diseño,10 Semestres
Ingenieria en Biotecnologia,Biologia- Mecanica,9 Semestres
Psicologia Clinica,C. de la Salud,8 Semestres
Terapia Fisica y Rehabilitacion,C. de la Salud,8 Semestres
Administracion,Administracion,9 Semestres
Administracion Financiera,Administracion- Finanzas,8 Semestres
Contaduria Pública ,Finanzas ,8 Semestres
Desarrollo Regional,Administracion,8 Semestres
Mercadotecnia,Administracion,9 Semestres
